TYPE,YEAR,HUNDRED_BLOCK,X,Y
Theft of Bicycle,2016,4XX E 64TH AVE,492942.4,5451059.37
Theft from Vehicle,2016,10XX BUTE ST,490530.69,5459016.19
Break and Enter Commercial,2016,22XX W 4TH AVE,488689.36,5457282.44
Break and Enter Residential/Other,2016,7XX E 41ST AVE,493537.49,5453353.44
Mischief,2016,11XX BURNABY ST,490370.54,5458557.73
Theft from Vehicle,2016,65XX DAWSON ST,496451.61,5452405.9
Mischief,2016,11XX BURNABY ST,490370.54,5458557.73
Theft from Vehicle,2016,65XX DAWSON ST,496442.4,5452404.21
Break and Enter Commercial,2016,22XX W 4TH AVE,488629.2,5457274.75
Theft from Vehicle,2016,9XX MAINLAND ST,491371.17,5458249.12
Theft of Bicycle,2016,1XX KEEFER ST,492707.11,5458526.76
Other Theft,2016,64XX VICTORIA DR,495211.54,5452622.31
Theft from Vehicle,2016,65XX CYPRESS ST,489119.29,5452662.25
Break and Enter Residential/Other,2016,7XX E 50TH AVE,493424.12,5452422.98
Theft of Bicycle,2016,1XX KEEFER ST,492710.4,5458526.65
Break and Enter Residential/Other,2016,24XX TURNER ST,495909.43,5458480.5
Theft from Vehicle,2016,16XX W 68TH AVE,489531.9,5450868.82
Theft from Vehicle,2016,65XX CULLODEN ST,494275.25,5452494.7
Theft of Bicycle,2016,1XX KEEFER ST,492720.27,5458526.33
Theft of Bicycle,2016,1XX KEEFER ST,492720.27,5458526.33
Theft of Bicycle,2016,1XX KEEFER ST,492720.27,5458526.33
Theft of Bicycle,2016,1XX KEEFER ST,492720.27,5458526.33
Theft of Bicycle,2016,1XX KEEFER ST,492720.27,5458526.33
Theft of Bicycle,2016,1XX KEEFER ST,492720.27,5458526.33
Theft of Bicycle,2016,1XX KEEFER ST,492720.27,5458526.33
Theft of Bicycle,2016,1XX KEEFER ST,492720.27,5458526.33
Theft of Bicycle,2016,1XX KEEFER ST,492720.57,5458535.47
Theft of Bicycle,2016,1XX LAKEWOOD DR,495520.59,5458987.39
Theft of Bicycle,2016,1XX MAIN ST,492758.57,5459018.57
Theft from Vehicle,2016,65XX CULLODEN ST,494263.92,5452404.85
Break and Enter Commercial,2016,22XX W 4TH AVE,488572.64,5457285.27
Break and Enter Residential/Other,2016,7XX E 50TH AVE,493523.66,5452412.74
Break and Enter Residential/Other,2016,24XX VICTORIA DR,495199.74,5456625.8
Other Theft,2016,64XX VICTORIA DR,495211.54,5452622.31
Theft from Vehicle,2016,9XX MAINLAND ST,491371.17,5458249.12
Theft from Vehicle,2016,65XX CHURCHILL ST,489689.23,5452599.08
Break and Enter Residential/Other,2016,24XX W 1 AV,488243.81,5457582.25
Mischief,2016,30XX E 3RD AVE,496986.33,5457198.42
Mischief,2016,11XX BUTE ST,490391.05,5458874.85
Theft from Vehicle,2016,3XX WATER ST,492006.72,5459095.56
Mischief,2016,30XX CAMBIE ST,491625.37,5456170.27
Other Theft,2016,64XX VICTORIA DR,495211.54,5452622.31
Theft of Bicycle,2016,1XX NATIONAL AVE,492590.75,5458017.09
Mischief,2016,11XX DAVIE ST,490302.79,5458784.21
Break and Enter Commercial,2016,22XX W 2ND AVE,488590.02,5457483.69
Theft from Vehicle,2016,2XX E 20TH AVE,492660.64,5455579.52
Theft from Vehicle,2016,8XX W 12TH AVE,491033.35,5456432.31
Mischief,2016,11XX DAVIE ST,490302.79,5458784.21
Theft from Vehicle,2016,2XX E 1ST AVE,492879.65,5457333.07
Theft from Vehicle,2016,3XX WATER ST,491975.94,5459104.53
Theft from Vehicle,2016,65XX CAMBIE ST,491500.14,5452536.37
Theft from Vehicle,2016,2XX E 1ST AVE,492879.65,5457333.07
Theft from Vehicle,2016,8XX W 12TH AVE,491033.35,5456432.31
Other Theft,2016,64XX VICTORIA DR,495211.54,5452622.31
Theft from Vehicle,2016,65XX FRASER ST,493399.35,5452516.21
Theft of Bicycle,2016,1XX POWELL ST,492669.26,5458949.72
Theft from Vehicle,2016,BOUNDARY RD / GRANDVIEW HWY,498269.0,5456160.43
Theft from Vehicle,2016,2XX E 1ST AVE,492840.46,5457367.54
Theft of Bicycle,2016,1XX PRINCESS AVE,493350.47,5459011.18
Break and Enter Residential/Other,2016,7XX E 54TH AVE,493529.35,5451980.35
Theft from Vehicle,2016,3XX WATER ST,491975.94,5459104.53
Theft from Vehicle,2016,8XX W 12TH AVE,491033.35,5456432.31
Break and Enter Residential/Other,2016,7XX E 55TH AVE,493501.61,5451913.94
Theft from Vehicle,2016,3XX WATER ST,491975.94,5459104.53
Theft from Vehicle,2016,65XX BALSAM ST,488260.37,5452708.49
Theft from Vehicle,2016,8XX W 12TH AVE,491033.35,5456432.31
Theft of Vehicle,2016,20XX BAYSWATER ST,487559.08,5457304.49
Theft of Bicycle,2016,1XX REGIMENT SQ,491970.77,5458449.18
Theft of Bicycle,2016,1XX REGIMENT SQ,491970.77,5458449.18
Other Theft,2016,64XX VICTORIA DR,495211.54,5452622.31
Other Theft,2016,64XX VICTORIA DR,495211.54,5452622.31
Theft from Vehicle,2016,2XX E 1ST AVE,492827.89,5457366.41
Mischief,2016,11XX BURNABY ST,490339.8,5458587.82
Theft from Vehicle,2016,16XX W 75TH AVE,489298.59,5450397.87
Other Theft,2016,9XX SEYMOUR ST,491143.26,5458445.58
Mischief,2016,2XX W 49TH AVE,491805.34,5452574.82
Theft from Vehicle,2016,16XX W 75TH AVE,489303.88,5450405.32
Other Theft,2016,64XX VICTORIA DR,495211.54,5452622.31
Other Theft,2016,9XX SEYMOUR ST,491143.26,5458445.58
Other Theft,2016,64XX VICTORIA DR,495211.54,5452622.31
Theft from Vehicle,2016,4XX CARRALL ST,492416.86,5458750.33
Theft of Bicycle,2016,1XX ROUNDHOUSE MEWS,491093.73,5457866.64
Theft of Bicycle,2016,1XX ROUNDHOUSE MEWS,491093.73,5457866.64
Theft of Bicycle,2016,1XX ROUNDHOUSE MEWS,491093.73,5457866.64
Mischief,2016,11XX BURNABY ST,490349.85,5458577.99
Theft of Bicycle,2016,1XX SWITCHMEN ST,492569.23,5457604.66
Theft from Vehicle,2016,4XX CARRALL ST,492416.82,5458749.34
Theft of Bicycle,2016,1XX SWITCHMEN ST,492590.04,5457598.77
Theft from Vehicle,2016,2XX E 1ST AVE,492795.8,5457394.33
Theft from Vehicle,2016,8XX W 12TH AVE,491033.35,5456432.31
Mischief,2016,11XX BURNABY ST,490349.85,5458577.99
Mischief,2016,11XX BURNABY ST,490296.66,5458630.07
Theft from Vehicle,2016,64XX VINE ST,488340.35,5452749.25
Theft of Vehicle,2016,38XX MAIN ST,492645.31,5455318.18
Theft from Vehicle,2016,8XX W 12TH AVE,491033.35,5456432.31
Theft from Vehicle,2016,64XX VICTORIA DR,495211.54,5452622.31
Break and Enter Residential/Other,2016,15XX NANTON AVE,489714.71,5454967.68
Break and Enter Residential/Other,2016,7XX E GEORGIA ST,493545.88,5458402.44
Mischief,2016,11XX BURNABY ST,490282.37,5458656.85
Other Theft,2016,3XX SE MARINE DR,492774.27,5450882.58
Theft of Bicycle,2016,1XX W 12TH AVE,492161.6,5456405.29
Theft of Bicycle,2016,1XX W 12TH AVE,492178.64,5456395.89
Other Theft,2016,3XX SE MARINE DR,492774.27,5450882.58
Other Theft,2016,9XX SEYMOUR ST,491143.26,5458445.58
Other Theft,2016,3XX SE MARINE DR,492774.27,5450882.58
Theft of Bicycle,2016,1XX W 14TH AVE,492087.39,5456196.26
Break and Enter Residential/Other,2016,7XX E HASTINGS ST,493522.54,5458719.04
Theft from Vehicle,2016,64XX ST GEORGE ST,493157.69,5452641.82
Other Theft,2016,9XX SEYMOUR ST,491143.26,5458445.58
Other Theft,2016,9XX SEYMOUR ST,491143.26,5458445.58
Break and Enter Commercial,2016,22XX PANDORA ST,495733.5,5458922.84
Theft of Bicycle,2016,1XX W 49TH AVE,492098.96,5452560.17
Break and Enter Commercial,2016,22XX PANDORA ST,495733.22,5458922.84
Break and Enter Commercial,2016,22XX OXFORD ST,495761.71,5459223.5
Break and Enter Commercial,2016,22XX OXFORD ST,495680.51,5459214.89
Theft from Vehicle,2016,2XX E 1ST AVE,492689.55,5457484.45
Theft from Vehicle,2016,64XX SALISH DR,485642.36,5452806.54
Theft from Vehicle,2016,3XX WATER ST,491974.39,5459104.99
Break and Enter Residential/Other,2016,7XX E HASTINGS ST,493604.81,5458715.12
Break and Enter Residential/Other,2016,7XX E HASTINGS ST,493632.86,5458704.63
Break and Enter Residential/Other,2016,7XX E KING EDWARD AVE,493502.63,5455105.43
Theft from Vehicle,2016,3XX W WATERFRONT RD,492204.26,5459202.29
Theft of Bicycle,2016,1XX W 1ST AVE,492106.56,5457497.4
Theft of Bicycle,2016,1XX W 1ST AVE,492117.64,5457496.95
Theft from Vehicle,2016,2XX E 1ST AVE,492689.55,5457484.45
Other Theft,2016,9XX SEYMOUR ST,491143.26,5458445.58
Theft from Vehicle,2016,64XX PRINCE ALBERT ST,493597.94,5452624.6
Other Theft,2016,9XX SEYMOUR ST,491143.26,5458445.58
Other Theft,2016,9XX SEYMOUR ST,491143.26,5458445.58
Theft from Vehicle,2016,8XX W 12TH AVE,491033.35,5456432.31
Theft of Bicycle,2016,1XX W 1ST AVE,492140.26,5457517.72
Theft of Bicycle,2016,1XX W 1ST AVE,492140.26,5457517.72
Other Theft,2016,9XX SEYMOUR ST,491143.26,5458445.58
Theft of Bicycle,2016,1XX W 1ST AVE,492161.96,5457495.13
Break and Enter Residential/Other,2016,7XX E PENDER ST,493525.34,5458603.92
Mischief,2016,11XX BURNABY ST,490296.66,5458630.07
Theft from Vehicle,2016,2XX E 1ST AVE,492689.55,5457484.45
Theft from Vehicle,2016,3XX W PENDER ST,491923.53,5458824.78
Theft from Vehicle,2016,4XX CARRALL ST,492416.82,5458749.34
Theft from Vehicle,2016,DAVIE ST / THURLOW ST,490456.65,5458633.77
Theft from Vehicle,2016,8XX W 12TH AVE,491033.35,5456432.31
Theft from Vehicle,2016,8XX W 12TH AVE,491033.35,5456432.31
Theft from Vehicle,2016,8XX W 12TH AVE,491033.35,5456432.31
Theft from Vehicle,2016,8XX W 12TH AVE,491033.35,5456432.31
Theft of Bicycle,2016,1XX W 1ST AVE,492217.36,5457492.87
Other Theft,2016,9XX SEYMOUR ST,491143.26,5458445.58
Mischief,2016,11XX BURNABY ST,490296.66,5458630.07
Break and Enter Residential/Other,2016,7XX E PENDER ST,493623.35,5458609.72
Theft of Bicycle,2016,1XX W 1ST AVE,492232.13,5457492.26
Theft from Vehicle,2016,11XX BURRARD ST,490669.38,5458547.99
Theft from Vehicle,2016,2XX E 63RD AVE,492664.99,5451213.24
Theft from Vehicle,2016,12XX PACIFIC ST,489988.51,5458640.1
Break and Enter Residential/Other,2016,7XX E PENDER ST,493648.56,5458608.85
Theft from Vehicle,2016,12XX PACIFIC ST,489988.51,5458640.1
Theft from Vehicle,2016,12XX PACIFIC ST,489988.51,5458640.1
Theft of Bicycle,2016,1XX W 2ND AVE,492082.46,5457395.33
Theft from Vehicle,2016,12XX PACIFIC ST,489988.51,5458640.1
Break and Enter Residential/Other,2016,7XX EXPO BLVD,491937.2,5458328.02
Theft of Bicycle,2016,1XX W 2ND AVE,492184.15,5457402.16
Theft of Bicycle,2016,1XX W 2ND AVE,492232.8,5457391.91
Break and Enter Residential/Other,2016,7XX GILFORD ST,490056.68,5459992.94
Theft from Vehicle,2016,64XX MACKENZIE PL,487611.54,5452877.47
Theft of Bicycle,2016,1XX W 3RD AVE,492154.67,5457299.49
Theft of Bicycle,2016,1XX W 47TH AVE,492068.31,5452770.61
Theft from Vehicle,2016,2XX E 1ST AVE,492686.25,5457484.65
Theft of Bicycle,2016,1XX W 4TH AVE,492140.57,5457195.56
Theft from Vehicle,2016,2XX E 19TH AVE,492786.89,5455676.21
Break and Enter Commercial,2016,22XX MAIN ST,492672.43,5456956.07
Break and Enter Residential/Other,2016,7XX HAWKS AVE,493646.66,5458375.41
Theft from Vehicle,2016,3XX W PENDER ST,491923.53,5458824.78
Theft of Bicycle,2016,1XX W 6TH AVE,492194.48,5456984.28
Theft from Vehicle,2016,3XX W PENDER ST,491923.53,5458824.78
Theft from Vehicle,2016,2XX E 19TH AVE,492705.97,5455686.88
Theft of Bicycle,2016,1XX W 8TH AVE,492119.64,5456786.08
Mischief,2016,73XX PRINCE EDWARD ST,492886.56,5451691.85
Theft of Bicycle,2016,1XX W BROADWAY AVE,492061.88,5456715.43
Break and Enter Residential/Other,2016,7XX JACKSON AVE,493190.51,5458391.31
Break and Enter Commercial,2016,22XX KINGSWAY AVE,495685.35,5454410.85
Mischief,2016,73XX PRINCE EDWARD ST,492886.56,5451691.85
Theft of Bicycle,2016,1XX W BROADWAY AVE,492154.04,5456711.52
Theft from Vehicle,2016,BOUNDARY RD / LOUGHEED HWY,498275.8,5456982.91
Theft from Vehicle,2016,64XX FREMLIN ST,490780.09,5452668.49
Break and Enter Commercial,2016,22XX KINGSWAY AVE,495676.49,5454405.89
Other Theft,2016,SALT ST / W 1ST AVE,492281.77,5457508.57
Mischief,2016,11XX BARCLAY ST,490757.21,5458952.92
Theft from Vehicle,2016,64XX FLEMING ST,494669.27,5452533.07
Theft of Vehicle,2016,20XX BLANCA ST,484352.53,5457318.61
Theft from Vehicle,2016,59XX QUEBEC ST,492450.68,5453105.04
Break and Enter Residential/Other,2016,7XX KEEFER ST,493506.14,5458503.59
Theft from Vehicle,2016,2XX E 19TH AVE,492668.38,5455678.44
Break and Enter Commercial,2016,22XX KINGSWAY AVE,495559.15,5454487.81
Mischief,2016,2XX W 13TH AVE,491998.19,5456299.4
Theft from Vehicle,2016,64XX DUNBAR ST,486500.1,5452803.31
Break and Enter Commercial,2016,22XX KINGSWAY AVE,495557.56,5454488.92
Theft from Vehicle,2016,2XX E 19TH AVE,492668.38,5455678.44
Theft from Vehicle,2016,11XX BURRARD ST,490669.38,5458547.99
Mischief,2016,74XX GATINEAU PL,496200.88,5451539.34
Other Theft,2016,11XX ROBSON ST,490795.02,5459233.32
Other Theft,2016,11XX ROBSON ST,490795.02,5459233.32
Theft from Vehicle,2016,64XX CROWN ST,485727.08,5452903.75
Theft from Vehicle,2016,2XX E 18TH AVE,492650.8,5455780.17
Theft from Vehicle,2016,64XX FRASER ST,493399.02,5452638.39
Other Theft,2016,9XX SEYMOUR ST,491143.26,5458445.58
Other Theft,2016,9XX SEYMOUR ST,491143.26,5458445.58
Other Theft,2016,9XX SEYMOUR ST,491143.26,5458445.58
Other Theft,2016,9XX SEYMOUR ST,491143.26,5458445.58
Mischief,2016,11XX BIDWELL ST,489955.32,5459433.09
Other Theft,2016,9XX SEYMOUR ST,491143.26,5458445.58
Mischief,2016,11XX BARCLAY ST,490719.76,5458990.73
Break and Enter Residential/Other,2016,24XX W 13TH AVE,488279.08,5456389.21
Theft of Vehicle,2016,20XX NELSON ST,489626.03,5459918.9
Break and Enter Residential/Other,2016,24XX W 13TH AVE,488279.08,5456389.21
Theft from Vehicle,2016,BOUNDARY RD / MARINE WAY,498285.71,5450281.92
Theft from Vehicle,2016,11XX MELVILLE ST,491117.69,5459313.04
Theft of Bicycle,2016,1XX W BROADWAY AVE,492164.28,5456701.93
Theft of Bicycle,2016,1XX W BROADWAY AVE,492164.28,5456701.93
Theft of Bicycle,2016,1XX W BROADWAY AVE,492164.28,5456701.93
Theft of Bicycle,2016,1XX W BROADWAY AVE,492164.28,5456701.93
Theft of Bicycle,2016,1XX W BROADWAY AVE,492164.28,5456701.93
Theft of Bicycle,2016,1XX W BROADWAY AVE,492164.28,5456701.93
Theft of Bicycle,2016,1XX W BROADWAY AVE,492164.28,5456701.93
Theft from Vehicle,2016,3XX W PENDER ST,491906.78,5458841.89
Other Theft,2016,9XX SEYMOUR ST,491143.26,5458445.58
Theft of Bicycle,2016,1XX W BROADWAY AVE,492164.67,5456711.07
Theft from Vehicle,2016,2XX E 17TH AVE,492632.93,5455879.87
Theft from Vehicle,2016,3XX W PENDER ST,491904.2,5458844.52
Break and Enter Residential/Other,2016,7XX PRINCESS AVE,493340.2,5458360.23
Theft from Vehicle,2016,4XX CARRALL ST,492406.83,5458727.42
Other Theft,2016,9XX SEYMOUR ST,491143.26,5458445.58
Theft from Vehicle,2016,2XX E 58TH AVE,492621.26,5451645.63
Mischief,2016,2XX UNION ST,492812.26,5458332.27
Other Theft,2016,29XX MAIN ST,492637.67,5456237.82
Break and Enter Commercial,2016,22XX GRANVILLE ST,489930.55,5457049.49
Break and Enter Commercial,2016,22XX GRANVILLE ST,489930.55,5457049.49
Break and Enter Commercial,2016,22XX GRANVILLE ST,489930.55,5457049.49
Other Theft,2016,29XX MAIN ST,492637.67,5456237.82
Break and Enter Residential/Other,2016,15XX MATTHEWS AVE,489788.1,5455594.98
Theft of Bicycle,2016,1XX W BROADWAY AVE,492217.45,5456699.68
Theft from Vehicle,2016,64XX BEATRICE ST,495111.03,5452533.32
Mischief,2016,3XX PRINCESS AVE,493345.81,5458799.93
Theft from Vehicle,2016,64XX BEATRICE ST,495111.03,5452533.32
Other Theft,2016,9XX SEYMOUR ST,491143.26,5458445.58
Theft from Vehicle,2016,64XX BALACLAVA ST,487200.38,5452803.65
Theft from Vehicle,2016,16XX W 7TH AVE,489732.75,5456962.93
Theft of Bicycle,2016,1XX W CORDOVA ST,492198.06,5458918.37
Theft from Vehicle,2016,4XX E 46TH AVE,492956.52,5452845.43
Other Theft,2016,29XX MAIN ST,492637.67,5456237.82
Theft from Vehicle,2016,3XX W KING EDWARD AVE,491911.94,5455120.46
Theft from Vehicle,2016,64XX ANGUS DR,489234.51,5452774.1
Break and Enter Residential/Other,2016,24XX W 15TH AVE,488305.43,5456182.04
Theft of Bicycle,2016,1XX W CORDOVA ST,492199.72,5458917.93
Theft of Vehicle,2016,23XX PINE ST,489577.32,5456966.79
Break and Enter Residential/Other,2016,7XX RUPERT ST,497560.28,5458318.84
Break and Enter Residential/Other,2016,19XX W 3RD AVE,489183.59,5457371.26
Theft of Bicycle,2016,1XX W CORDOVA ST,492216.27,5458913.54
Theft from Vehicle,2016,63XX YUKON ST,491658.65,5452790.66
Theft of Bicycle,2016,1XX W CORDOVA ST,492218.61,5458922.38
Other Theft,2016,6XX SEYMOUR ST,491609.07,5458916.05
Break and Enter Residential/Other,2016,7XX SE MARINE DR,493418.94,5450929.41
Theft from Vehicle,2016,63XX YUKON ST,491658.55,5452755.6
Break and Enter Residential/Other,2016,35XX W 43RD AVE,486650.93,5453353.05
Theft of Bicycle,2016,1XX W CORDOVA ST,492222.88,5458911.79
Break and Enter Residential/Other,2016,35XX W 43RD AVE,486690.84,5453362.29
Theft from Vehicle,2016,3XX W HASTINGS ST,491991.69,5458914.49
Theft from Vehicle,2016,63XX WINDSOR ST,493800.56,5452680.9
Theft of Bicycle,2016,1XX W GEORGIA ST,491773.94,5458495.5
Break and Enter Residential/Other,2016,35XX W 47TH AVE,486685.5,5452960.42
Theft from Vehicle,2016,2XX E 15TH AVE,492771.89,5456079.73
Theft of Bicycle,2016,1XX W GEORGIA ST,491811.65,5458473.37
Theft from Vehicle,2016,3XX W HASTINGS ST,491997.46,5458895.73
Break and Enter Residential/Other,2016,24XX W 18TH AVE,488296.5,5455957.98
Break and Enter Residential/Other,2016,24XX W 18TH AVE,488312.32,5455957.48
Break and Enter Residential/Other,2016,7XX SE MARINE DR,493501.44,5450930.69
Theft from Vehicle,2016,63XX WINDSOR ST,493790.48,5452630.9
Other Theft,2016,6XX TERMINAL AVE,493469.4,5457579.62
Other Theft,2016,11XX ROBSON ST,490795.02,5459233.32
Theft from Vehicle,2016,2XX E 15TH AVE,492638.41,5456082.63
Other Theft,2016,11XX ROBSON ST,490795.02,5459233.32
Theft from Vehicle,2016,63XX VICTORIA DR,495223.2,5452708.41
Theft from Vehicle,2016,63XX VICTORIA DR,495222.4,5452681.14
Theft of Bicycle,2016,1XX W HASTINGS ST,492031.98,5458862.92
Theft of Bicycle,2016,1XX W HASTINGS ST,492100.32,5458846.82
Break and Enter Residential/Other,2016,15XX MARINER WALK,489848.07,5457518.39
Theft from Vehicle,2016,DAVIE ST / THURLOW ST,490456.65,5458633.77
Break and Enter Residential/Other,2016,24XX W 19TH AVE,488309.58,5455856.76
Theft of Bicycle,2016,1XX W HASTINGS ST,492116.86,5458841.84
Theft of Bicycle,2016,1XX W HASTINGS ST,492116.86,5458841.84
Theft of Bicycle,2016,1XX W HASTINGS ST,492116.86,5458841.84
Theft of Bicycle,2016,1XX W HASTINGS ST,492116.86,5458841.84
Theft from Vehicle,2016,3XX W HASTINGS ST,491996.04,5458897.16
Theft from Vehicle,2016,3XX W HASTINGS ST,491996.04,5458897.16
Theft from Vehicle,2016,3XX W HASTINGS ST,491996.04,5458897.16
Break and Enter Residential/Other,2016,24XX W 1ST AVE,488247.03,5457582.17
Break and Enter Residential/Other,2016,7XX TEMPLETON DR,495645.27,5458367.61
Theft of Bicycle,2016,1XX W HASTINGS ST,492179.7,5458822.95
Theft of Bicycle,2016,1XX W HASTINGS ST,492179.7,5458822.95
Mischief,2016,1XX W 43RD AVE,492058.62,5453179.23
Other Theft,2016,29XX MAIN ST,492638.0,5456256.42
Other Theft,2016,9XX TERMINAL AVE,493902.91,5457453.33
Theft from Vehicle,2016,2XX E 14TH AVE,492716.9,5456179.96
Theft from Vehicle,2016,DAVIE ST / THURLOW ST,490456.65,5458633.77
Theft of Bicycle,2016,1XX W HASTINGS ST,492193.6,5458809.22
Theft from Vehicle,2016,4XX CAMPBELL AVE,493837.08,5458696.94
Theft from Vehicle,2016,4XX CAMPBELL AVE,493837.08,5458696.94
Mischief,2016,4XX E HASTINGS ST,493068.32,5458733.26
Other Theft,2016,11XX ROBSON ST,490795.02,5459233.32
Other Theft,2016,11XX ROBSON ST,490795.02,5459233.32
Break and Enter Residential/Other,2016,7XX UNION ST,493545.8,5458300.67
Theft of Bicycle,2016,1XX W PENDER ST,492113.78,5458718.89
Theft of Bicycle,2016,1XX W PENDER ST,492113.78,5458718.89
Theft of Bicycle,2016,1XX W PENDER ST,492113.78,5458718.89
Theft from Vehicle,2016,BROUGHTON ST / COMOX ST,490240.36,5459157.64
Theft from Vehicle,2016,82XX ASH ST,491245.15,5450846.96
Mischief,2016,75XX KERR ST,496983.87,5451519.23
Break and Enter Commercial,2016,22XX E HASTINGS ST,495783.84,5458719.17
Break and Enter Commercial,2016,22XX E HASTINGS ST,495783.84,5458719.17
Theft of Bicycle,2016,1XX W PENDER ST,492171.05,5458703.31
Theft of Bicycle,2016,1XX W PENDER ST,492171.05,5458703.31
Break and Enter Residential/Other,2016,35XX W 49TH AVE,486702.4,5452753.32
Mischief,2016,11XX BARCLAY ST,490708.97,5459014.62
Mischief,2016,29XX W 43RD AVE,487581.15,5453341.8
Break and Enter Commercial,2016,22XX E HASTINGS ST,495783.84,5458719.17
Theft of Bicycle,2016,20XX COMOX ST,489602.49,5459800.0
Break and Enter Residential/Other,2016,15XX LAURIER AVE,489753.8,5455356.86
Break and Enter Residential/Other,2016,15XX LAURIER AVE,489753.8,5455356.86
Theft of Bicycle,2016,1XX WALTER HARDWICK AVE,492107.46,5457588.31
Theft from Vehicle,2016,63XX PRINCE ALBERT ST,493599.21,5452684.8
Break and Enter Residential/Other,2016,7XX VERNON DR,494240.97,5458426.44
Break and Enter Residential/Other,2016,7XX VERNON DR,494240.97,5458426.44
Break and Enter Residential/Other,2016,35XX W 4TH AVE,486711.19,5457333.13
Theft from Vehicle,2016,63XX NANAIMO ST,495702.03,5452696.39
Other Theft,2016,11XX ROBSON ST,490795.02,5459233.32
Theft of Bicycle,2016,20XX NELSON ST,489639.84,5459905.08
Theft from Vehicle,2016,COLUMBIA ST / W 13TH AVE,492024.84,5456298.22
Break and Enter Residential/Other,2016,7XX W 12TH AVE,491198.64,5456418.72
Break and Enter Residential/Other,2016,7XX W 12TH AVE,491198.64,5456418.72
Mischief,2016,75XX PRINCE EDWARD ST,492883.31,5451540.63
Break and Enter Residential/Other,2016,1XX W GEORGIA ST,491795.1,5458476.13
Other Theft,2016,9XX E HASTINGS ST,493841.02,5458697.41
Theft from Vehicle,2016,2XX E 13TH AVE,492717.81,5456281.6
Theft from Vehicle,2016,63XX MARGUERITE ST,489453.74,5452895.67
Other Theft,2016,11XX ROBSON ST,490795.02,5459233.32
Other Theft,2016,11XX ROBSON ST,490795.02,5459233.32
Other Theft,2016,2X SW MARINE DR,492195.45,5451060.12
Theft of Bicycle,2016,1XX WATER ST,492233.52,5459023.57
Theft of Bicycle,2016,1XX WATER ST,492233.52,5459023.57
Mischief,2016,75XX THORNHILL DR,495005.92,5451405.08
Theft of Bicycle,2016,1XX WATER ST,492245.43,5459029.85
Theft from Vehicle,2016,12XX PENDRELL ST,490343.4,5458893.2
Theft of Bicycle,2016,1XX WATER ST,492249.44,5459019.31
Other Theft,2016,11XX ROBSON ST,490795.02,5459233.32
Other Theft,2016,11XX ROBSON ST,490795.02,5459233.32
Theft from Vehicle,2016,63XX LANARK ST,494479.95,5452656.02
Other Theft,2016,9XX TERMINAL AVE,493902.91,5457453.33
Other Theft,2016,11XX ROBSON ST,490795.02,5459233.32
Mischief,2016,2XX RENFREW ST,496805.2,5458908.53
Theft from Vehicle,2016,10XX BURRARD ST,490832.79,5458716.14
Mischief,2016,1XX W 1ST AVE,492192.04,5457516.09
Mischief,2016,76XX GRANVILLE ST,489780.83,5451504.47
Other Theft,2016,9XX DENMAN ST,490001.3,5459721.75
Break and Enter Residential/Other,2016,7XX W 20TH AVE,491155.55,5455640.16
Theft of Bicycle,2016,1XX WATER ST,492251.04,5459018.89
Mischief,2016,76XX MAIN ST,492576.82,5451448.05
Break and Enter Commercial,2016,22XX E HASTINGS ST,495698.94,5458710.29
Mischief,2016,53XX EAST BLVD,488728.14,5453889.42
Break and Enter Residential/Other,2016,24XX W 1ST AVE,488308.49,5457589.7
Break and Enter Residential/Other,2016,7XX W 20TH AVE,491208.13,5455638.52
Break and Enter Residential/Other,2016,24XX W 1ST AVE,488324.36,5457580.13
Theft of Bicycle,2016,20XX ALMA ST,486484.45,5457256.73
Break and Enter Residential/Other,2016,24XX W 1ST AVE,488343.94,5457588.76
Other Theft,2016,11XX ROBSON ST,490795.02,5459233.32
Other Theft,2016,11XX ROBSON ST,490795.02,5459233.32
Mischief,2016,53XX EAST BLVD,488728.14,5453889.42
Break and Enter Commercial,2016,22XX E HASTINGS ST,495678.39,5458719.49
Mischief,2016,76XX PRINCE ALBERT ST,493601.66,5451382.04
Theft from Vehicle,2016,2XX E 12TH AVE,492734.2,5456391.07
Theft from Vehicle,2016,2XX E 12TH AVE,492732.65,5456391.04
Break and Enter Commercial,2016,22XX E HASTINGS ST,495678.39,5458719.49
Theft of Bicycle,2016,20XX BARCLAY ST,489766.25,5459935.78
Theft of Bicycle,2016,20XX BARCLAY ST,489766.25,5459935.78
Break and Enter Residential/Other,2016,35XX W 7TH AVE,486743.37,5457037.97
Other Theft,2016,2XX E PENDER ST,492824.52,5458623.11
Other Theft,2016,9XX TERMINAL AVE,493902.91,5457453.33
Break and Enter Residential/Other,2016,7XX W 24TH AVE,491226.07,5455259.78
Break and Enter Residential/Other,2016,35XX W 7TH AVE,486743.37,5457037.97
Theft from Vehicle,2016,BROUGHTON ST / HARWOOD ST,489931.94,5458851.07
Break and Enter Residential/Other,2016,7XX W 26TH AVE,491187.22,5455032.8
Other Theft,2016,2XX KEEFER ST,492823.07,5458523.22
Theft of Bicycle,2016,20XX MAPLE ST,489053.69,5457226.46
Mischief,2016,1XX W 21ST AVE,492106.54,5455473.17
Break and Enter Commercial,2016,22XX E HASTINGS ST,495665.53,5458719.53
Break and Enter Commercial,2016,22XX E HASTINGS ST,495665.53,5458719.53
Mischief,2016,1XX W 21ST AVE,492123.44,5455463.52
